matrix_name,m,n,nnz_original,nnz_bicg,standalone_gflops,bicg_gflops,perf_ratio,standalone_working_set,bicg_working_set,gflops_change_pct,nnz_change_pct,working_set_change_pct,device,cache_category
scircuit_synthetic,170998,170998,958936,959020,99.15974999999999,83.95818384101825,0.8466962032580585,14.239038696289063,24.67,-15.330379674194154,0.008759708677117138,73.25607806957801,ARM-GRACE-72,Both in LLC
mac_econ_fwd500_synthetic,206500,206500,1273389,1457389,126.86492600000001,113.31697146961586,0.8932096131094251,18.514287109375,33.22,-10.679038689057482,14.449630081616851,79.42899882533705,ARM-GRACE-72,Both in LLC
raefsky3_synthetic,21200,21200,1488768,1488768,156.18877833333332,147.91472266666668,0.9470252872520175,17.44,18.74,-5.297471274798247,0.0,7.454128440366955,ARM-GRACE-72,Both in LLC
rgg_n_2_17_s0_synthetic,131072,131072,1457506,1588578,153.20365766666666,113.97956637232501,0.7439741851354255,19.18,28.679999999999996,-25.60258148645745,8.992896084132758,49.53076120959331,ARM-GRACE-72,Both in LLC
bbmat_synthetic,38744,38744,1771722,1771722,171.66070533333334,158.343571,0.9224217661958575,21.01,23.38,-7.757823380414249,0.0,11.280342693955246,ARM-GRACE-72,Both in LLC
appu_synthetic,14000,14000,1853104,1853104,156.78131766666667,140.43311400000002,0.8957260730425507,21.47,22.33,-10.427392695744926,0.0,4.0055891942244966,ARM-GRACE-72,Both in LLC
mc2depi_synthetic,525825,525825,2100225,2100225,173.01444933333335,157.770562,0.9118924032526085,34.06,66.16,-8.81075967473915,0.0,94.24544920728124,ARM-GRACE-72,Both in LLC
rma10_synthetic,46835,46835,2374001,2374001,192.811571,189.62669566666668,0.9834819284090927,28.06,30.92,-1.651807159090732,0.0,10.192444761225955,ARM-GRACE-72,Both in LLC
cop20k_A_synthetic,121192,121192,2624331,2645680,145.730579,117.18018485714146,0.8040878287949536,32.34568008422852,39.99,-19.59121712050465,0.8135025650346697,23.633202009868356,ARM-GRACE-72,Both in LLC
thermomech_dK_synthetic,204316,204316,2846228,2846228,138.96752666666666,114.41347400000001,0.823310860777115,36.47,48.94,-17.6689139222885,0.0,34.19248697559638,ARM-GRACE-72,Both in LLC
webbase-1M_synthetic,1000005,1000005,3105536,3105536,151.792033,90.940209,0.5991105541092528,54.60999999999999,115.65000000000002,-40.088944589074714,0.0,111.77440029298671,ARM-GRACE-72,LLC Spill (In -> Out)
cant_synthetic,62451,62451,4007383,4007383,280.49155833333333,244.30801233333332,0.8709995187912221,47.04999999999999,50.85999999999999,-12.900048120877795,0.0,8.097768331562175,ARM-GRACE-72,Both in LLC
ASIC_680k_synthetic,682862,682862,3871773,3871848,82.212429,110.429439874594,1.3432207418977244,57.32914169311524,99.01,34.322074189772444,0.0019370970353892133,72.70448689080983,ARM-GRACE-72,Both in LLC
roadNet-TX_synthetic,1393383,1393383,3843320,5236703,127.05670300000001,50.008883447960805,0.3935950033896346,70.56399703979493,171.55000000000004,-60.64049966103654,36.25467044118106,143.11264553686428,ARM-GRACE-72,LLC Spill (In -> Out)
